"","File","Time","condition","variable","value"
"1","p109_4_av.csv",120.521172638436,"hit","FCZ",0.14268
"2","p109_4_av.csv",121.498371335505,"hit","FCZ",0.28181
"3","p109_4_av.csv",122.475570032573,"hit","FCZ",0.42305
"4","p109_4_av.csv",123.452768729642,"hit","FCZ",0.34386
"5","p109_4_av.csv",124.42996742671,"hit","FCZ",0.39791
"6","p109_4_av.csv",125.407166123778,"hit","FCZ",0.47741
"7","p109_4_av.csv",126.384364820847,"hit","FCZ",0.5555
"8","p109_4_av.csv",127.361563517915,"hit","FCZ",0.56801
"9","p109_4_av.csv",128.338762214984,"hit","FCZ",0.64503
"10","p109_4_av.csv",129.315960912052,"hit","FCZ",0.65727
"11","p109_4_av.csv",130.29315960912,"hit","FCZ",0.77211
"12","p109_4_av.csv",131.270358306189,"hit","FCZ",0.81035
"13","p109_4_av.csv",132.247557003257,"hit","FCZ",0.73173
"14","p109_4_av.csv",133.224755700326,"hit","FCZ",0.71748
"15","p109_4_av.csv",134.201954397394,"hit","FCZ",0.59647
"16","p109_4_av.csv",135.179153094463,"hit","FCZ",0.5408
"17","p109_4_av.csv",136.156351791531,"hit","FCZ",0.5833
"18","p109_4_av.csv",137.133550488599,"hit","FCZ",0.63875
"19","p109_4_av.csv",138.110749185668,"hit","FCZ",0.68939
"20","p109_4_av.csv",139.087947882736,"hit","FCZ",0.76796
"21","p109_4_av.csv",140.065146579805,"hit","FCZ",0.76231
"22","p109_4_av.csv",141.042345276873,"hit","FCZ",0.74919
"23","p109_4_av.csv",142.019543973941,"hit","FCZ",0.78475
"24","p109_4_av.csv",142.99674267101,"hit","FCZ",0.90183
"25","p109_4_av.csv",143.973941368078,"hit","FCZ",0.93495
"26","p109_4_av.csv",144.951140065147,"hit","FCZ",0.88117
"27","p109_4_av.csv",145.928338762215,"hit","FCZ",0.89941
"28","p109_4_av.csv",146.905537459283,"hit","FCZ",0.95974
"29","p109_4_av.csv",147.882736156352,"hit","FCZ",1.0977
"30","p109_4_av.csv",148.85993485342,"hit","FCZ",1.0276
"31","p109_4_av.csv",149.837133550489,"hit","FCZ",0.94742
"32","p109_4_av.csv",150.814332247557,"hit","FCZ",0.89817
"33","p109_4_av.csv",151.791530944625,"hit","FCZ",0.94548
"34","p109_4_av.csv",152.768729641694,"hit","FCZ",0.9222
"35","p109_4_av.csv",153.745928338762,"hit","FCZ",0.86336
"36","p109_4_av.csv",154.723127035831,"hit","FCZ",0.99328
"37","p109_4_av.csv",155.700325732899,"hit","FCZ",1.1091
"38","p109_4_av.csv",156.677524429967,"hit","FCZ",1.182
"39","p109_4_av.csv",157.654723127036,"hit","FCZ",1.1658
"40","p109_4_av.csv",158.631921824104,"hit","FCZ",1.2839
"41","p109_4_av.csv",159.609120521173,"hit","FCZ",1.3424
"42","p109_4_av.csv",160.586319218241,"hit","FCZ",1.3827
"43","p109_4_av.csv",161.563517915309,"hit","FCZ",1.3028
"44","p109_4_av.csv",162.540716612378,"hit","FCZ",1.2821
"45","p109_4_av.csv",163.517915309446,"hit","FCZ",1.2901
"46","p109_4_av.csv",164.495114006515,"hit","FCZ",1.1557
"47","p109_4_av.csv",165.472312703583,"hit","FCZ",1.2126
"48","p109_4_av.csv",166.449511400651,"hit","FCZ",1.3128
"49","p109_4_av.csv",167.42671009772,"hit","FCZ",1.3353
"50","p109_4_av.csv",168.403908794788,"hit","FCZ",1.2866
"51","p109_4_av.csv",169.381107491857,"hit","FCZ",1.3112
"52","p109_4_av.csv",170.358306188925,"hit","FCZ",1.2193
"53","p109_4_av.csv",171.335504885993,"hit","FCZ",1.1427
"54","p109_4_av.csv",172.312703583062,"hit","FCZ",1.2063
"55","p109_4_av.csv",173.28990228013,"hit","FCZ",1.1958
"56","p109_4_av.csv",174.267100977199,"hit","FCZ",1.1854
"57","p109_4_av.csv",175.244299674267,"hit","FCZ",1.1385
"58","p109_4_av.csv",176.221498371335,"hit","FCZ",1.1084
"59","p109_4_av.csv",177.198697068404,"hit","FCZ",1.1929
"60","p109_4_av.csv",178.175895765472,"hit","FCZ",1.2949
"61","p109_4_av.csv",179.153094462541,"hit","FCZ",1.3715
"62","p109_4_av.csv",180.130293159609,"hit","FCZ",1.4348
"63","p109_4_av.csv",181.107491856678,"hit","FCZ",1.4378
"64","p109_4_av.csv",182.084690553746,"hit","FCZ",1.434
